Unique accounts	Number of txs	Sum Ethers	Average
0x06c01c768cfe4ba15d4949ae04b728ba1ccc4e5b	2	2.711	
0x3861165fafd5a6f23dbab406389fe6054c267bac	2	2	
0xab0345ef616c2a3313fbc895782925c3e07ae5bb	2	1.6	
0x38bf4b562839306385d87f969f6e437a8865977b	2	6.66	
0x08207c9cf23b8d379b43b947701dfdde5a6d28fe	2	10	
0x3b4035dbd1ca2fa5cb34216670a3efe61962c215	2	10	
0xb6bc57eedddc9bd0768d55f86dfc1e6f20877fe3	2	26	
0x005a510b2df05f27866475ea32a286a72860e69c	2	1.9	
0xc1bdb172dac6fc4b8b4cda53f18bc87a5c68e9be	2	2	
0x3de9b7ec41043a52266bf7f26b7e6314aba331df	2	21	
0xcda10798bf239ceb7ee1a979bdab28fac70068b7	2	3	
0x3e0d55d3f21ac07c5809d9c72087f900a6fcf8af	2	29.79959	
0xd36e971770189574d3ffb54ea48bafad3418c208	2	5	
0x3e1e290ece9938116cc29c57662a41691b5f50e9	2	4	
0xdaeb7e54cfd548fa22ce75a7864fda02ccc73a28	2	4	
0x3e56652cabbce5f5698cdb87f9ee0ca443a5eca6	2	0.6	
0xe3de5365e604b0a0a4047da40664ae2dd587aa8f	2	6.011	
0x3e739887f4ded1c1c3cdadc61d89c963527fbc45	2	2	
0xe85b679feb11fa4fff313a744bd5e64fb821d6eb	2	2.05	
0x3fbce9c8bc27f83f06c14795faa9c53c2720c6c5	2	6	
0xeb999df6ed150b8b9a395d05f3b427fd9c9c5a62	2	3	
0x40024abf37b19b9b3b1f6144d378a8e35a29b95f	2	120	
0xeec131b5e29fa263b80900144f1500ab4886a3d0	2	10	
0x4011cd33e32333fa45ea1bed54ba4e01b2c1b6a0	2	2.95	
0x8b8029b875c4882c3f7d1698b75c4f4aea36bb02	2	5.95	
0x402f9c9541dc477a5c34c585016cf94faa64656c	2	0.285	
0x1f1554c0cdf276aefd599dfdffe32b5eec11523e	2	1	
0x413a9c43031aa60cdb27318063df4d25042c0166	2	3.99	
0x977c827a997e6cb67e70daeaa7145b17d0cb8bda	2	40	
0x0caf7a3156d69e69941a19aabc56a9f22d9fdf0e	2	159.9	
0x989b86e90a55f0f6fc72a9752cc2b703d30ac9bc	2	0.5	
0x42ce66a720e94a15edd1d6be470707b9ba6c3bd7	2	0.487379011	
0x9c79aef1d586452220ff23fa6b7791fcae1e7edb	2	2	
0x0cd174a5c353c69cbc978758c14a9852571171de	2	0.796518116	
0x9ea3220165970de03a98fe4687b1dd819ae1b747	2	9.99353515	
0x43c0af7b1a0f77f0c448132ab04d5dc8f1f2cd89	2	1	
